"","Player","Team","Age","Overall"
"373","Georges-Kévin Nkoudou","Tottenham Hotspur",24,74
"374","Ryan Fredericks","West Ham United",26,74
"375","Albian Ajeti","West Ham United",22,74
"376","Çağlar Söyüncü","Leicester City",23,74
"377","Hamza Choudhury","Leicester City",21,74
"378","Rachid Ghezzal","Leicester City",27,74
"379","Islam Slimani","Leicester City",31,74
"380","Adama Traoré Diarra","Wolverhampton Wanderers",23,74
"381","Emiliano Buendía","Norwich City",22,74
"382","Patrick Roberts","Norwich City
Jun 30, ",22,74
"383","Timm Klose","Norwich City",31,74
"384","Jack O'Connell","Sheffield United",25,74
"385","Enda Stevens","Sheffield United",28,74
"386","Billy Sharp","Sheffield United",33,74
"387","Oliver McBurnie","Sheffield United",23,74
"388","Adam Masina","Watford",25,74
"389","Dimitri Foulquier","Watford",26,74
"390","Marvin Zeegelaar","Watford",28,74
"391","Dwight McNeil","Burnley",19,74
"392","Aaron Lennon","Burnley",32,74
"393","Ben Gibson","Burnley",26,74
"394","Jeffrey Schlupp","Crystal Palace",26,74
"395","Adam Webster","Brighton & Hove Albion",24,74
"396","Gaëtan Bong","Brighton & Hove Albion",31,74
"397","Leon Balogun","Brighton & Hove Albion",31,74
"398","Philip Billing","Bournemouth",23,74
"399","Diego Rico Salguero","Bournemouth",26,74
"400","Jonathan Kodjia","Aston Villa",29,73
"401","Maarten Stekelenburg","Everton",36,73
"402","Jose Ignacio Peleteiro Ramallo","Aston Villa",28,73
"403","Karl Darlow","Newcastle United",28,73
"404","Reece James","Chelsea",19,73
"405","Danny Ward","Leicester City",26,73
"406","Ryan Bennett","Wolverhampton Wanderers",29,73
"407","Oumar Niasse","Everton",29,73
"408","Kevin Long","Burnley",28,73
"409","Ryan Kent","Liverpool",22,73
"410","Joel Ward","Crystal Palace",29,73
"411","Axel Tuanzebe","Manchester United",21,73
"412","Timothy Fosu-Mensah","Manchester United",21,73
"413","Fraser Forster","Southampton",31,73
"414","Kelechi Iheanacho","Leicester City",22,73
"415","Christian Fuchs","Leicester City",33,73
"416","Daniel Amartey","Leicester City",24,73
"417","Tim Krul","Norwich City",31,73
"418","Tom Trybull","Norwich City",26,73
"419","Marco Stiepermann","Norwich City",28,73
"420","Moritz Leitner","Norwich City",26,73
"421","Onel Hernández","Norwich City",26,73
"422","Mario Vrančić","Norwich City",30,73
"423","Chris Basham","Sheffield United",30,73
"424","John Fleck","Sheffield United",27,73
"425","Callum Robinson","Sheffield United",24,73
"426","Luke Freeman","Sheffield United",27,73
"427","Isaac Success","Watford",23,73
"428","Sebastian Prödl","Watford",32,73
"429","Erik Pieters","Burnley",30,73
"430","Matěj Vydra","Burnley",27,73
"431","Ezequiel Schelotto","Brighton & Hove Albion",30,73
"432","Charlie Daniels","Bournemouth",32,73
"433","Chris Mepham","Bournemouth",21,73
"434","Jordon Ibe","Bournemouth",23,73
"435","Ørjan Nyland","Aston Villa",28,72
"436","Reiss Nelson","Arsenal",19,72
"437","Matt Targett","Aston Villa",23,72
